0.61,0.73,6.0284
0.94,0.98,3.0084
0.52,0.26,5.5906
0.36,0.35,5.0176
0.89,0.5,2.4921
0.05,0.96,3.0399
0.44,0.79,6.4812
0.3,0.83,5.2914
0.24,0.49,3.9698
0.83,0.9,3.8376
0.95,0.59,2.1499
0.78,0.13,2.8769
0.24,0.18,3.2198
0.53,0.47,5.9294
0.35,0.38,4.9651
0.87,0.36,2.2968
0.93,0.06,1.2856
0.64,0.17,4.6397
0.6,0.09,4.7132
0.85,0.56,2.9213
0.98,0.52,2.0292
0.05,0.57,2.2703
0.83,1,4.0636
0.99,0.06,1.0998
0.61,0.33,5.1814
0.25,0.01,3.1531
0.09,0.29,1.7865
0.7,0.95,5.4866
0.55,0.55,6.0276
0.48,0.45,5.8116
0.96,0.44,1.8967
0.42,0.99,6.7909
0.71,0.61,4.8077
0.53,0.85,6.6314
0.1,0.91,3.115
0.49,0.97,6.8555
0.19,0.49,3.2226
0.96,0.27,1.6505
0,0.06,1.1187
0.27,0.19,3.5819
0.35,0.01,4.1802
0.02,0.92,2.8961
0.43,0.16,5.0983
0.34,0.26,4.4386
1,0.77,2.5852
0.88,0.09,1.7684
0.52,0.23,5.3733
0.23,0.47,3.7242
0.08,0.74,2.7352
0.28,0.51,4.4766
0.29,0.33,4.0615
0.3,0.6,4.8767
0.16,0.69,3.3077
0.2,0.04,2.4742
0.2,0.85,4.0027
0.19,0.1,2.4045
0.74,0.81,4.7995
0.03,0.1,1.2076
0.8,0.77,3.919
0.09,0.73,2.7535
0.49,0.24,5.517
0.44,0.99,6.8981
0.68,0.92,5.6138
0.57,0.91,6.6785
0.78,0.75,4.1133
0.29,0.59,4.7351
0.45,0.23,5.262
0.85,0.48,2.6744
0.74,0.54,4.2603
0.37,0.27,4.9129
0.68,0.42,4.6029
0.53,0.51,6.0541
1,0.82,2.5847
0.61,0.19,4.8678
0.66,0.62,5.2161
0.21,0.75,4.0828
0.81,0.95,4.1446
0.51,0.35,5.728
0.36,0.78,5.7313
0.76,0.4,3.7376
0.2,0.99,4.3792
0.86,0.62,3.0086
0.91,0.72,2.6385
0.63,0.58,5.5204
0.17,0.69,3.408
0.76,0.19,3.1885
0.54,0.89,6.7064
0.84,0.93,3.7686
0.76,0.84,4.508
0.18,0.12,2.3152
0.84,0.99,3.9768
0.59,0.67,6.1116
0.64,0.15,4.5845
0.69,0.78,5.2437
0.79,0.83,4.2305
0.37,0.76,5.8515
0.24,0.16,3.2924
0.42,0.74,6.3031
